All calculations,GG_01,GG_02,PQ_Meas_GG01_11kV,PQ_Meas_GG02_11kV,PQ_Meas_RL01_11kV,PQ_Meas_RL02_11kV,PQ_Meas_WF_11kV,PQ_Meas_ESS_TR_11kV,PQ_Meas_LV_Load_11kV,PQ_Meas_WT1_33kV,PQ_Meas_WT2_33kV,PQ_Meas_WT3_33kV,GG_01
"b:tnow in s","s:xspeed in p.u.","s:xspeed in p.u.","s:p in p.u.","s:p in p.u.","s:p in p.u.","s:p in p.u.","s:p in p.u.","s:p in p.u.","s:p in p.u.","s:p in p.u.","s:p in p.u.","s:p in p.u.","s:ut in p.u."
-0.008343,0.999696,0.999757,17.098894,16.975356,44.747659,0.000000,11.720012,-0.221528,0.825074,3.955462,3.967824,3.958228,1.010181
-0.007680,0.999694,0.999755,17.105869,16.998909,44.766181,0.000000,11.709472,-0.222628,0.825441,3.960723,3.971841,3.974927,1.010407
-0.007010,0.999692,0.999754,17.092542,16.997395,44.768022,0.000000,11.701712,-0.198101,0.825526,3.954518,3.965009,3.958344,1.010083
-0.006270,0.999690,0.999752,17.062971,17.012062,44.741821,0.000000,11.684799,-0.192997,0.825014,3.950824,3.963218,3.959022,1.009865
-0.005532,0.999689,0.999751,17.037377,17.024052,44.760740,0.000000,11.715746,-0.191097,0.825339,3.958586,3.968473,3.972230,1.010258
-0.004864,0.999687,0.999749,17.021702,17.049028,44.748955,0.000000,11.709346,-0.206012,0.825109,3.954398,3.962679,3.964041,1.010134
-0.004157,0.999685,0.999747,17.012631,17.072987,44.753591,0.000000,11.692184,-0.199011,0.825200,3.948636,3.954210,3.965336,1.010141
-0.003401,0.999684,0.999745,16.996253,17.079065,44.758153,0.000000,11.683593,-0.175442,0.825316,3.950290,3.956804,3.966709,1.010042
-0.002688,0.999682,0.999744,16.977804,17.093272,44.755989,0.000000,11.686806,-0.176631,0.825262,3.952985,3.960431,3.968282,1.010168
-0.001963,0.999681,0.999742,16.955457,17.100679,44.760460,0.000000,11.710561,-0.180926,0.825311,3.955399,3.960528,3.965296,1.010343
-0.001319,0.999680,0.999740,16.957570,17.116187,44.768708,0.000000,11.707084,-0.186658,0.825475,3.954135,3.959660,3.977626,1.010418
-0.000641,0.999678,0.999738,16.969571,17.121728,44.775405,0.000000,11.683777,-0.174014,0.825657,3.947578,3.954248,3.965811,1.010281
0.000112,0.999677,0.999736,16.950526,17.111820,44.753628,0.000000,11.674318,-0.157807,0.825230,3.944192,3.952188,3.960410,1.009989
0.000816,0.999675,0.999734,16.949926,17.102772,44.763211,0.000000,11.705110,-0.169190,0.825408,3.955920,3.966333,3.974910,1.010162
0.001536,0.999674,0.999732,16.952607,17.103882,44.747435,0.000000,11.711397,-0.195363,0.825088,3.953852,3.965150,3.969888,1.010076
0.002253,0.999673,0.999730,16.972049,17.107674,44.756910,0.000000,11.714355,-0.211909,0.825258,3.955782,3.967310,3.969947,1.010221
0.002959,0.999671,0.999729,16.991314,17.096228,44.750929,0.000000,11.698449,-0.209888,0.825175,3.950590,3.966197,3.969330,1.009976
0.003706,0.999669,0.999727,17.016495,17.084047,44.749750,0.000000,11.694508,-0.220116,0.825183,3.952599,3.971305,3.969162,1.009947
0.004418,0.999668,0.999725,17.020964,17.073581,44.754461,0.000000,11.726020,-0.240896,0.825209,3.958096,3.979476,3.971220,1.010284
0.005119,0.999666,0.999723,17.046322,17.068920,44.752444,0.000000,11.730148,-0.267770,0.825177,3.956956,3.976893,3.979036,1.010231
0.005760,0.999664,0.999722,17.077520,17.060776,44.783725,0.000000,11.740526,-0.269311,0.825786,3.968142,3.992785,3.977556,1.010550
0.006502,0.999663,0.999720,17.077702,17.032443,44.751442,0.000000,11.715307,-0.248806,0.825203,3.946946,3.972283,3.957149,1.009864
0.007210,0.999661,0.999718,17.095468,17.023576,44.765238,0.000000,11.719361,-0.247702,0.825464,3.958443,3.987829,3.974768,1.010218
0.007938,0.999659,0.999717,17.085588,17.003661,44.759766,0.000000,11.747123,-0.251280,0.825325,3.961001,3.989938,3.976514,1.010182
0.008641,0.999657,0.999715,17.093506,17.010615,44.758074,0.000000,11.738782,-0.259561,0.825268,3.960153,3.986088,3.972534,1.010310
0.009317,0.999655,0.999714,17.096110,16.997418,44.789665,0.000000,11.757263,-0.235253,0.825874,3.972572,3.998856,3.981439,1.010573
0.010058,0.999653,0.999712,17.082391,16.978739,44.761160,0.000000,11.724194,-0.198781,0.825383,3.955036,3.982984,3.965387,1.009973
0.010781,0.999652,0.999711,17.070439,16.984148,44.769337,0.000000,11.732100,-0.191851,0.825500,3.961054,3.992258,3.975266,1.010389
0.011466,0.999650,0.999709,17.053316,16.985330,44.778311,0.000000,11.755139,-0.189830,0.825644,3.961925,3.988069,3.980740,1.010575
0.012138,0.999648,0.999708,17.051687,17.002620,44.777994,0.000000,11.739515,-0.190176,0.825652,3.962301,3.986782,3.977889,1.010511
0.012840,0.999647,0.999706,17.039303,17.001219,44.798879,0.000000,11.742273,-0.157841,0.826076,3.958420,3.981467,3.968450,1.010560
